	37_10_Double.KDKO_r1	37_10_MSN24.KO_r3	37_10_MSN24.KO_r1	37_10_Double.KDKO_r3	37_10_MSN24.KO_r2	37_10_Double.KDKO_r2	37_10_HSF1.KD_r1	37_10_Wildtype_r3	37_10_Wildtype_r1	37_10_HSF1.KD_r3	37_10_Wildtype_r2	37_10_HSF1.KD_r2
YKR047W	15	35	29	86	30	37	24	24	11	18	13	18
YKR048C	2833	1190	2082	1890	1946	2384	5279	2042	2219	2878	1681	3847
YKR049C	118	38	57	68	57	64	960	553	310	1018	526	1871
YKR050W	636	258	692	404	516	554	2381	1183	887	1153	487	1445
YKR051W	193	258	240	252	178	180	267	197	145	233	94	306
YKR052C	240	183	228	254	199	222	544	475	261	503	213	718
YKR053C	34	34	48	50	31	54	51	22	34	34	14	41
YKR054C	389	352	429	363	336	309	444	198	222	249	133	398
YKR055W	76	117	110	97	95	71	140	131	79	100	114	267
YKR056W	132	80	65	168	48	107	93	41	31	43	24	155
YKR057W	247	329	171	521	99	160	138	19	58	131	53	212
YKR058W	251	273	274	308	268	294	2154	2917	999	1623	1000	2664
YKR059W	6	6	10	11	4	2	4	14	3	8	0	5
YKR060W	63	44	21	101	15	59	52	18	18	24	9	86
YKR061W	89	149	61	236	42	57	56	38	22	63	15	112
YKR062W	440	517	483	512	490	489	791	343	272	410	331	810
YKR063C	25	11	7	32	5	12	12	1	1	5	2	15
YKR064W	196	244	132	254	139	174	216	108	90	110	74	269
YKR065C	1636	992	1467	1357	1113	1029	2085	948	766	1309	466	1786
YKR066C	1238	945	1584	1390	1162	949	3904	1237	1769	3462	1417	3394
YKR067W	1764	1914	2475	1920	1991	1647	4234	3885	2331	3225	1633	4641
YKR068C	125	399	138	313	105	93	60	13	31	53	31	140
YKR069W	267	202	191	363	144	254	205	116	80	182	83	333
YKR070W	280	225	310	271	248	246	308	182	199	316	121	571
YKR071C	654	1611	822	1076	703	523	422	102	168	175	163	542
